Predicted Price,Actual Price
42.37722432,38.25
39.69123031,39.25
39.50238009,39.3
39.40775825,38.8
39.42037957,38.45
39.45491306,38.25
39.54533256,38.3
39.64725413,
39.78153244,
39.89142461,
